iteration,chain,E_init_non_centered,I_init_non_centered,H_init_non_centered,gamma_non_centered,nu_non_centered,epsilon_non_centered,rho_gene_non_centered,sigma_ww_non_centered,sigma_hosp_non_centered,Rt_params_non_centered[1],Rt_params_non_centered[2],Rt_params_non_centered[3],Rt_params_non_centered[4],Rt_params_non_centered[5],Rt_params_non_centered[6],Rt_params_non_centered[7],Rt_params_non_centered[8],Rt_params_non_centered[9],Rt_params_non_centered[10],Rt_params_non_centered[11],Rt_params_non_centered[12],w_params_non_centered[1],w_params_non_centered[2],w_params_non_centered[3],w_params_non_centered[4],w_params_non_centered[5],w_params_non_centered[6],w_params_non_centered[7],w_params_non_centered[8],w_params_non_centered[9],w_params_non_centered[10],w_params_non_centered[11],w_params_non_centered[12],lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
26,1,1.4513358464855675,0.29410897793103,1.2167966218275654,0.6368211750588432,-0.5120699723781322,-0.35881504392617714,5.043699902014349,2.6548619096009802,1.9450133813035901,0.12240808270343559,0.652523746082861,-0.8943132549692284,0.07260922800458738,-1.6347881909760158,-2.124811787821253,-0.6936995856263234,-0.3034306413361415,-1.7049760020162068,-1.116933617741488,0.5241704118160335,1.1593389740748352,1.1415858476105487,3.983816700851312,-0.3360013218917456,-1.0179422200728683,1.4580841521135905,0.29580653823836,-0.6622769179568945,-0.05425191084309712,-0.4575869200206216,0.8355977710803008,1.933345053780796,0.6731181530448486,-430.7879876360722,127.0,1.0,0.888430116217882,-430.7879876360722,440.6802779462737,0.026930636257873175,0.281611945843963,7.0,0.0,0.022158898705713265,0.022158898705713265
27,1,0.04924439888633323,2.886920239709878,0.3778392046561049,1.2436266153482867,-0.13962415824310662,0.4994769559174489,5.276604280646071,2.8635732799114435,1.6125830075949765,-0.597910007407967,-0.46601617160997766,-0.24270757102409823,-1.9191740171971006,0.7718627921110408,0.44170737083134004,-0.4264419606672321,-3.3450276784917587,-1.845476235201051,-0.9417282013790149,1.5532431983612955,-0.823612502016587,0.7340261435966283,4.26820659517296,0.5576915657573537,1.320819736648676,0.6244887709307553,1.792679978839038,-0.5336067858349711,0.731227797977705,0.7465858906329006,-1.461316782257919,0.1512713921202356,0.59969330277198,-437.2227139371544,127.0,1.0,0.9309853989762504,-437.2227139371544,450.4012698338659,0.14044430295581378,0.19385815808851703,7.0,0.0,0.022158898705713265,0.022158898705713265
28,1,0.8317220152484496,0.4687344678226648,0.8127658971203564,1.5299488465560114,0.6390843636489206,0.336924004827308,5.242414408405772,2.9878843193815796,1.140274677234594,1.152211803260956,-0.13608314972726485,0.6366279339722332,-2.0729011735620113,-0.30263983157250085,1.1148827798924248,-1.1325182150005886,-2.2831381338199437,-2.2381005157903475,-0.21446665822762173,0.797450320683934,-0.9781718841760287,1.3502878577893267,4.162540748097147,1.181879365819885,1.691765707100142,1.0070536844546325,0.5798891303334376,0.006538992621243096,0.8269622194489613,1.1105579990285268,-1.3180626751464821,-0.9186476173363558,0.9181053669379371,-433.1811312645068,127.0,1.0,0.9197448432647524,-433.1811312645068,452.1544459170896,0.17044959188956454,0.4311106393478781,7.0,0.0,0.022158898705713265,0.022158898705713265
29,1,2.2974880230636834,1.1750092464610566,1.0784628509802845,-1.3799633894353132,-0.1489884162960359,-0.3523099858714035,5.03748406405338,1.6736522573892783,1.8494469447426145,0.30502176871938547,-0.35828859419694903,-0.8894509840245793,1.7457038508446472,-0.746539385653403,-2.729141554128392,-0.3479477482143071,-0.6361846396897363,-1.080055242891475,-1.6803411584281824,-1.1447719402456107,0.6555056760787911,-0.8295263704935183,3.7776259091213396,-0.9334768143759915,-0.7215550791297136,0.14565202560773427,0.21810031121443557,0.6425555303813683,0.13097702564700095,-1.0249113910462977,0.7098154806502232,0.4140564671897301,-1.198979111582262,-431.0819333870217,255.0,1.0,0.9174988026317064,-431.0819333870217,448.33759880228695,-0.05851354150615862,0.5297794468923485,8.0,0.0,0.022158898705713265,0.022158898705713265
30,1,1.546287529819742,0.9111239612785936,0.8760116250765808,0.9264810644763775,-0.329787684470424,1.0075292446922552,5.143282379047151,3.320020212213176,1.6170036905953635,1.9935228370714666,-0.8749540943204616,1.395650390042395,-0.8016769663008543,-1.4190933669240355,1.3547466838516815,-0.3700209034281535,-2.974559997387394,-0.9304321459595067,0.050191141603318536,-0.8318496785099646,-0.8030352168900157,-0.143620242972382,4.008968231941384,0.03289686358562842,0.07892889484294531,1.2111147717086186,-1.3583707970844654,-1.2492242433245586,-0.5352993603550722,-0.10304856901439652,-2.3341001025994452,-0.5725310018629117,1.064781110860164,-433.09085164382924,255.0,1.0,0.9999161394755811,-433.09085164382924,447.92359067881813,-0.2815465468403886,-0.3151821653264619,8.0,0.0,0.022158898705713265,0.022158898705713265
31,1,2.2765693978216937,0.6145019415454229,1.1251617761891415,-0.902517469835973,0.58239448105351,-1.0361348625465951,5.050545565638924,1.3664795781402683,1.8626231101870432,0.3295883663684024,0.8236260325007047,-1.8477402476918192,-0.06841544510420311,-1.045264440689848,-2.1303121603979207,-1.3294077823232053,1.02208591207571,-1.830477474348415,-1.0228014760305213,0.16822566401085035,0.6505384064708968,0.12201269608051481,3.750981236460946,-0.4045263312928085,1.0259530298131936,0.3145327352465569,0.6651708666525133,1.6871588689481645,0.25280833950888504,0.703831774149187,0.9266961216762463,-0.09384620450126971,-0.4564202404258201,-429.5869360858307,127.0,1.0,0.9047642463307458,-429.5869360858307,443.9916096811619,0.42332375697611724,0.4531754555272869,7.0,0.0,0.022158898705713265,0.022158898705713265
32,1,1.7350467060690142,-0.048353632400822716,1.1772824277943112,-0.3237328431195582,1.1453142031477885,-0.3234258097354036,5.10048166318738,0.3659275480940268,2.2131188697435893,0.8399467092933247,1.057274323609031,-1.4674740724789077,-0.5420049583963307,-0.9402889338926412,-1.9330117182994895,-0.876615862021028,0.2766052315636524,-1.8504815857570605,-1.8023936838616303,0.4758111318960298,0.9063732360515334,0.04354893059709143,3.8689503392719997,0.41857128229140417,0.2975083471510773,0.40089121984571785,0.1333233672154507,1.9211655346662304,-0.5997368757548077,0.3037101176456599,1.733996330491214,0.3667369673850036,-1.740998700672366,-434.0320776036067,255.0,1.0,0.8871958108400038,-434.0320776036067,452.9215373365431,0.4878782507104802,0.6800919828968404,7.0,0.0,0.022158898705713265,0.022158898705713265
33,1,2.0628858273351787,0.49860029216358065,1.1544459696311542,0.06627639174748108,-0.8492061322997249,1.681250645334425,5.179582029194159,3.6470723537942282,1.3326873605353495,0.7401939788212487,-1.0856216906340688,0.7397854669729861,-0.1307398948971858,-0.5846589673546349,0.7104912078491127,-1.1545803195654654,-2.7016526247353654,-1.983036395145557,0.9988845945522514,0.6419639100125278,-0.4141307599736475,0.8442019051546334,4.036243147240667,-0.3273749899845905,-0.5517234653740519,1.1224239579240376,0.17272715850924206,0.10714413787772067,0.27478720580351507,0.3968470082709106,-1.8127739463376722,0.7904783353643275,2.0115110616846787,-433.14905036753674,127.0,1.0,0.9603130265964614,-433.14905036753674,457.1171274305378,-0.49674177891660065,-0.848742725686634,7.0,0.0,0.022158898705713265,0.022158898705713265
34,1,0.1268073561613536,2.2463925533754505,0.7818631920949778,-0.47773758648271203,1.2014027182550215,-1.40522591848424,5.295828614290492,1.5585481840421296,1.956680466256075,0.7365342582150273,1.8011277636560246,-2.004868384377664,-0.44454761598751785,-1.0034072339689197,-2.2186916253554263,-1.8235331146044618,-0.5676625616090473,-0.1414074869335879,-2.0535029288835327,-1.1741316763685175,0.28132941609606854,0.5344465942115856,3.8825185192678595,1.3020311180732758,1.1856104040144602,0.2602654207721986,-1.744432663164779,0.9629123649164311,0.46842401170528325,1.3983710271601397,1.793402899743948,-0.08209813404912206,-0.4747200988680654,-437.51265600955475,255.0,1.0,0.8864178481770456,-437.51265600955475,453.69643011887024,0.2557414308212742,0.33290896569991446,8.0,0.0,0.022158898705713265,0.022158898705713265
35,1,0.32282163824988186,1.2926198185937001,0.9769076872158478,-0.7028316915639321,0.4667855432682445,-0.9939936878879588,5.205553831170844,1.3700730893175799,1.7598445564767604,0.0027885894778761564,1.4458527758055815,-2.6703423699616926,-0.31543016502906196,-0.9076474618952528,-1.7171177144707033,-1.5311607092042812,-0.6576134617809136,-0.8156063074233021,-1.6155535681292645,0.9366495506583032,0.8691826659907527,0.5050280508076515,4.131658573212978,1.3602879762516507,-0.04624169502646219,-0.24626771348820767,-1.2177204530826329,0.8540725900263273,0.5563244113793147,0.9820818335687471,1.284085604563536,0.17757136220756106,-1.8474741553063905,-434.7054538245373,127.0,1.0,0.9858928355958445,-434.7054538245373,450.2265682367272,-0.03842065990232868,0.10539298536076558,7.0,0.0,0.022158898705713265,0.022158898705713265
36,1,0.3772048093004088,0.9270354480856687,0.4305633526618754,-1.0299630695046085,-0.5198907467892839,-0.563493430633331,5.480855082801429,1.531092028571694,0.898542916846178,0.22062995373799305,0.5498992907943308,-1.2767898284040655,-0.7089017065396904,-1.0311486742524356,-0.9914553260433778,-1.3789792020152631,-0.6464454544117156,-1.0986444774543194,-0.9796892279926808,0.17018693245093897,0.3877609877760206,0.038327596452799276,4.424189383146056,0.9014827492959819,-0.04488870667642436,-0.01654751376177785,-0.6102973923098597,1.3252009809982606,0.43567839270055086,0.5512074148996929,1.239379087744153,0.3260145083466787,-1.9635750741097084,-430.5253782969917,127.0,1.0,0.7023281495738835,-430.5253782969917,442.1077307033734,0.5496185858768285,0.7148202273092465,7.0,0.0,0.022158898705713265,0.022158898705713265
