data_hosp[65],data_hosp[66],data_hosp[67],data_hosp[68],data_hosp[69],data_hosp[70],data_hosp[71]
297.0,256.0,219.0,303.0,298.0,255.0,249.0
360.0,263.0,250.0,206.0,287.0,191.0,241.0
303.0,311.0,315.0,217.0,303.0,311.0,271.0
306.0,315.0,303.0,277.0,280.0,325.0,287.0
279.0,300.0,258.0,272.0,228.0,332.0,192.0
341.0,291.0,258.0,282.0,269.0,247.0,207.0
251.0,275.0,266.0,265.0,230.0,265.0,225.0
335.0,342.0,239.0,267.0,283.0,272.0,235.0
263.0,297.0,343.0,305.0,316.0,318.0,330.0
348.0,347.0,287.0,330.0,307.0,323.0,296.0
276.0,311.0,304.0,211.0,238.0,258.0,243.0
313.0,264.0,320.0,344.0,297.0,271.0,293.0
304.0,351.0,348.0,266.0,275.0,282.0,251.0
263.0,306.0,232.0,249.0,271.0,226.0,238.0
347.0,361.0,326.0,261.0,375.0,285.0,315.0
282.0,362.0,329.0,242.0,225.0,276.0,182.0
356.0,372.0,329.0,292.0,315.0,341.0,373.0
243.0,272.0,277.0,264.0,264.0,240.0,254.0
259.0,368.0,281.0,271.0,258.0,245.0,231.0
279.0,325.0,347.0,277.0,268.0,276.0,246.0
289.0,331.0,303.0,338.0,345.0,340.0,340.0
380.0,288.0,350.0,317.0,276.0,288.0,271.0
275.0,327.0,377.0,351.0,291.0,286.0,283.0
332.0,358.0,297.0,304.0,276.0,237.0,225.0
325.0,373.0,318.0,324.0,339.0,313.0,302.0
315.0,292.0,313.0,256.0,229.0,215.0,193.0
274.0,313.0,266.0,287.0,265.0,356.0,290.0
346.0,298.0,247.0,278.0,284.0,318.0,334.0
312.0,292.0,325.0,259.0,245.0,369.0,272.0
351.0,282.0,339.0,264.0,259.0,273.0,233.0
325.0,293.0,251.0,267.0,286.0,260.0,272.0
352.0,309.0,277.0,277.0,231.0,244.0,225.0
343.0,397.0,349.0,278.0,333.0,269.0,272.0
321.0,296.0,298.0,299.0,292.0,247.0,234.0
306.0,290.0,295.0,306.0,306.0,232.0,230.0
304.0,308.0,292.0,294.0,274.0,277.0,201.0
344.0,328.0,297.0,341.0,259.0,335.0,319.0
369.0,354.0,261.0,257.0,252.0,285.0,271.0
313.0,236.0,287.0,310.0,281.0,288.0,296.0
369.0,285.0,343.0,289.0,357.0,355.0,285.0
279.0,327.0,262.0,275.0,286.0,300.0,251.0
301.0,319.0,317.0,295.0,261.0,272.0,302.0
300.0,263.0,286.0,238.0,275.0,269.0,229.0
348.0,354.0,291.0,318.0,340.0,314.0,307.0
304.0,273.0,318.0,347.0,252.0,264.0,227.0
338.0,299.0,292.0,269.0,293.0,304.0,265.0
389.0,287.0,278.0,266.0,255.0,284.0,295.0
293.0,309.0,371.0,330.0,300.0,294.0,258.0
301.0,307.0,278.0,230.0,273.0,320.0,260.0
336.0,303.0,264.0,267.0,275.0,269.0,219.0
304.0,341.0,355.0,266.0,279.0,249.0,243.0
342.0,265.0,271.0,319.0,260.0,282.0,277.0
327.0,271.0,295.0,367.0,320.0,254.0,287.0
382.0,282.0,276.0,340.0,262.0,278.0,279.0
321.0,300.0,273.0,279.0,290.0,216.0,267.0
305.0,284.0,266.0,339.0,306.0,232.0,267.0
276.0,351.0,273.0,303.0,305.0,290.0,254.0
337.0,430.0,399.0,325.0,313.0,325.0,339.0
248.0,296.0,242.0,258.0,270.0,274.0,212.0
337.0,282.0,296.0,281.0,239.0,302.0,228.0
231.0,310.0,326.0,273.0,282.0,212.0,261.0
312.0,299.0,312.0,252.0,260.0,282.0,289.0
301.0,280.0,344.0,321.0,276.0,252.0,316.0
316.0,280.0,252.0,283.0,294.0,269.0,353.0
290.0,347.0,320.0,290.0,387.0,281.0,339.0
300.0,321.0,328.0,275.0,237.0,299.0,313.0
350.0,349.0,383.0,374.0,346.0,285.0,253.0
375.0,295.0,304.0,294.0,259.0,257.0,313.0
358.0,328.0,334.0,396.0,327.0,350.0,362.0
308.0,289.0,332.0,282.0,287.0,262.0,236.0
337.0,319.0,292.0,341.0,313.0,335.0,245.0
279.0,298.0,285.0,288.0,325.0,338.0,238.0
321.0,214.0,278.0,266.0,238.0,284.0,277.0
289.0,293.0,325.0,305.0,350.0,305.0,322.0
278.0,298.0,305.0,254.0,226.0,197.0,213.0
363.0,353.0,336.0,395.0,368.0,334.0,382.0
298.0,331.0,265.0,301.0,297.0,275.0,246.0
288.0,329.0,287.0,311.0,341.0,280.0,280.0
324.0,323.0,305.0,282.0,265.0,241.0,236.0
295.0,316.0,285.0,295.0,269.0,234.0,233.0
303.0,306.0,359.0,274.0,312.0,223.0,235.0
269.0,315.0,300.0,305.0,309.0,268.0,307.0
269.0,301.0,279.0,229.0,257.0,218.0,191.0
287.0,357.0,283.0,270.0,318.0,266.0,352.0
325.0,372.0,308.0,241.0,249.0,327.0,253.0
278.0,241.0,264.0,290.0,271.0,229.0,263.0
285.0,266.0,290.0,266.0,309.0,245.0,270.0
324.0,371.0,291.0,332.0,285.0,290.0,287.0
291.0,381.0,297.0,283.0,293.0,273.0,268.0
336.0,294.0,302.0,284.0,303.0,322.0,273.0
333.0,290.0,285.0,315.0,262.0,265.0,332.0
339.0,321.0,348.0,271.0,315.0,335.0,292.0
258.0,298.0,340.0,267.0,267.0,250.0,285.0
250.0,258.0,274.0,232.0,253.0,219.0,272.0
368.0,291.0,323.0,248.0,273.0,260.0,357.0
301.0,267.0,287.0,353.0,357.0,265.0,343.0
325.0,284.0,276.0,298.0,302.0,251.0,229.0
380.0,312.0,280.0,289.0,276.0,252.0,242.0
369.0,314.0,232.0,239.0,262.0,235.0,244.0
381.0,331.0,265.0,313.0,236.0,282.0,261.0
306.0,312.0,330.0,297.0,305.0,363.0,303.0
302.0,301.0,307.0,332.0,298.0,274.0,237.0
306.0,237.0,256.0,262.0,261.0,221.0,230.0
281.0,308.0,294.0,266.0,234.0,252.0,277.0
363.0,278.0,251.0,311.0,294.0,313.0,269.0
325.0,262.0,335.0,270.0,274.0,252.0,296.0
293.0,271.0,282.0,274.0,298.0,275.0,284.0
336.0,286.0,380.0,365.0,329.0,337.0,314.0
302.0,249.0,296.0,244.0,203.0,267.0,252.0
270.0,310.0,371.0,382.0,259.0,268.0,261.0
267.0,220.0,283.0,269.0,248.0,320.0,256.0
287.0,281.0,346.0,339.0,306.0,273.0,318.0
354.0,313.0,275.0,279.0,281.0,304.0,228.0
367.0,294.0,367.0,379.0,302.0,348.0,359.0
353.0,324.0,289.0,310.0,293.0,257.0,280.0
325.0,276.0,269.0,339.0,289.0,322.0,292.0
354.0,318.0,317.0,313.0,252.0,318.0,276.0
339.0,302.0,322.0,291.0,303.0,314.0,345.0
301.0,283.0,281.0,314.0,263.0,201.0,279.0
299.0,277.0,246.0,296.0,265.0,246.0,200.0
283.0,277.0,261.0,250.0,275.0,239.0,215.0
321.0,320.0,299.0,302.0,281.0,310.0,280.0
287.0,348.0,298.0,232.0,267.0,276.0,224.0
308.0,335.0,395.0,290.0,256.0,276.0,245.0
370.0,302.0,365.0,309.0,306.0,365.0,293.0
279.0,297.0,261.0,310.0,364.0,332.0,287.0
